iter	RMSE
0	35.26909283
1	34.86723833
2	34.41457552
3	33.94101009
4	33.49360869
5	33.094681
6	32.70184909
7	32.37334884
8	31.98151197
9	31.66580808
10	31.35128128
11	31.00588634
12	30.71392569
13	30.42698012
14	30.16973082
15	29.88663905
16	29.63055047
17	29.3975984
18	29.17188062
19	28.97834221
20	28.7596789
21	28.59546565
22	28.42398266
23	28.21482732
24	28.01549141
25	27.83839225
26	27.68137274
27	27.53057004
28	27.35534925
29	27.25796323
30	27.13160474
31	26.99830964
32	26.84436926
33	26.7329391
34	26.63120322
35	26.48841319
36	26.37057084
37	26.2761349
38	26.17011871
39	26.07829407
40	25.95690539
41	25.85603508
42	25.74892146
43	25.66932389
44	25.58541981
45	25.50553686
46	25.45345704
47	25.37879857
48	25.29813007
49	25.22645751
50	25.15934367
51	25.06594002
52	25.00610476
53	24.92885202
54	24.87859311
55	24.82674207
56	24.77226464
57	24.71526514
58	24.65474511
59	24.58786762
60	24.53934912
61	24.47864553
62	24.42096757
63	24.35432041
64	24.32606124
65	24.27120788
66	24.23745474
67	24.17098517
68	24.13096299
69	24.08668737
70	24.03275618
71	23.97627595
72	23.93832851
73	23.88537617
74	23.84725183
75	23.80270642
76	23.76886858
77	23.73384179
78	23.70700653
79	23.67312243
80	23.65160266
81	23.60979172
82	23.59080947
83	23.56566804
84	23.53559402
85	23.51687298
86	23.49278137
87	23.46850908
88	23.44381064
89	23.41122209
90	23.38539008
91	23.35451143
92	23.32699981
93	23.30287047
94	23.2731416
95	23.24975523
96	23.23339161
97	23.20796787
98	23.17966525
99	23.16197121
100	23.14618394
101	23.10687347
102	23.09701894
103	23.07558899
104	23.04681181
105	23.03180182
106	23.01036616
107	22.98624467
108	22.95344738
109	22.92624835
110	22.90933173
111	22.88438681
112	22.85906137
113	22.82144031
114	22.79984278
115	22.77807141
116	22.76709466
117	22.73541186
118	22.70781472
119	22.6855704
120	22.65315022
121	22.63553078
122	22.62145552
123	22.60062382
124	22.58176283
125	22.56995173
126	22.54368457
127	22.52732363
128	22.51259864
129	22.49655316
130	22.46502775
131	22.44214292
132	22.43006646
133	22.42321827
134	22.41368495
135	22.39046301
136	22.37051125
137	22.35890033
138	22.34354287
139	22.31637798
140	22.29947469
141	22.27517508
142	22.27040372
143	22.25361451
144	22.23998481
145	22.22412716
146	22.20005341
147	22.17416039
148	22.16052603
149	22.14613783
150	22.13665509
151	22.12214381
152	22.10757702
153	22.09836719
154	22.08848518
155	22.07976165
156	22.05640337
157	22.03687969
158	22.01883662
159	21.99513006
160	21.98095223
161	21.96845478
162	21.95755207
163	21.946094
164	21.92992293
165	21.91662224
166	21.90529321
167	21.88909551
168	21.87545889
169	21.87096356
170	21.86559528
171	21.86415637
172	21.85867675
173	21.843646
174	21.81765365
175	21.8048866
176	21.79558254
177	21.7761839
178	21.76530311
179	21.75190158
180	21.74358506
181	21.72591147
182	21.70914359
183	21.68916951
184	21.67496199
185	21.66746009
186	21.65584355
187	21.63466468
188	21.61905278
189	21.61395162
190	21.59678259
191	21.57891468
192	21.56685128
193	21.55263228
194	21.54259113
195	21.53005262
196	21.51579001
197	21.49713382
198	21.47801198
199	21.46714234
200	21.45706587
201	21.44777841
202	21.43788424
203	21.42509925
204	21.41772995
205	21.40330553
206	21.39223483
207	21.38609804
208	21.37316802
209	21.36778212
210	21.36311494
211	21.35595966
212	21.35026832
213	21.34273327
214	21.32969428
215	21.32105908
216	21.31154703
217	21.30766744
218	21.29194619
219	21.28190105
220	21.27104148
221	21.26776757
222	21.25676962
223	21.24707294
224	21.24108384
225	21.22904384
226	21.21457739
227	21.20626222
228	21.1878907
229	21.1736579
230	21.16692405
231	21.15178159
232	21.14306623
233	21.13270211
234	21.12283962
235	21.10933082
236	21.0946023
237	21.08945839
238	21.0806031
239	21.06768312
240	21.05343046
241	21.04302877
242	21.03447756
243	21.02362646
244	21.01085786
245	21.00536283
246	20.99526865
247	20.98899539
248	20.98561996
249	20.97489375
250	20.96396005
251	20.95727887
252	20.94541037
253	20.93435007
254	20.92587279
255	20.91683623
256	20.90554262
257	20.89849643
258	20.88445861
259	20.87797185
260	20.866113
261	20.86081061
262	20.84851243
263	20.83912573
264	20.82646753
265	20.81533616
266	20.79977852
267	20.79539232
268	20.7885874
269	20.77654279
270	20.76649682
271	20.75418346
272	20.74835483
273	20.742534
274	20.73365563
275	20.72427848
276	20.71969693
277	20.70487283
278	20.69437665
279	20.68536836
280	20.67862375
281	20.67013461
282	20.65977856
283	20.64639153
284	20.63732746
285	20.62729361
286	20.61902456
287	20.6123721
288	20.59816435
289	20.58583233
290	20.575581
291	20.56708849
292	20.55744456
293	20.54305811
294	20.53406382
295	20.52278868
296	20.51289041
297	20.50136774
298	20.48684635
299	20.47518633
300	20.46617702
301	20.45336271
302	20.44361324
303	20.43753858
304	20.42944897
305	20.42256559
306	20.4144245
307	20.40457397
308	20.39487711
309	20.38828561
310	20.38252166
311	20.37853294
312	20.36821446
313	20.3591095
314	20.35048649
315	20.34486429
316	20.33138202
317	20.32674099
318	20.31422506
319	20.30715214
320	20.29879188
321	20.29264291
322	20.28599185
323	20.27898416
324	20.26777853
325	20.25814454
326	20.25205968
327	20.24510365
328	20.23649495
329	20.22818945
330	20.21772135
331	20.21383316
332	20.20538754
333	20.19735036
334	20.19213981
335	20.18622693
336	20.18057149
337	20.16961853
338	20.16170157
339	20.14832331
340	20.1413156
341	20.13448507
342	20.12707096
343	20.12127114
344	20.11609814
345	20.10922854
346	20.10422587
347	20.09870816
348	20.0918007
349	20.08678277
350	20.07941589
351	20.07189949
352	20.06404795
353	20.05621705
354	20.04902403
355	20.04287976
356	20.03829111
357	20.03146575
358	20.02148373
359	20.01474169
360	20.0091025
361	20.00502053
362	20.00052081
363	19.99455072
364	19.98374366
365	19.97581335
366	19.9673629
367	19.96223231
368	19.95225973
369	19.94008714
370	19.93162832
371	19.92424252
372	19.92093215
373	19.91554291
374	19.90912382
375	19.90454638
376	19.89471339
377	19.88419693
378	19.875841
379	19.87012871
380	19.8595713
381	19.85241723
382	19.84612069
383	19.83485683
384	19.82847888
385	19.82313867
386	19.81964385
387	19.81664848
388	19.80771265
389	19.8028033
390	19.79537167
391	19.78577927
392	19.77963565
393	19.77276462
394	19.76745621
395	19.75962815
396	19.75110278
397	19.74529007
398	19.73312349
399	19.72198962
400	19.71594726
401	19.71065518
402	19.70519982
403	19.69759707
404	19.69214385
405	19.68699847
406	19.68355298
407	19.67828566
408	19.67135222
409	19.66016934
410	19.65169416
411	19.64787813
412	19.64065411
413	19.63540236
414	19.63271932
415	19.62571508
416	19.6177309
417	19.61305873
418	19.60799622
419	19.60263922
420	19.59499777
421	19.59045581
422	19.5848287
423	19.57747483
424	19.56960256
425	19.56269911
426	19.55921326
427	19.55496035
428	19.54554663
429	19.54050712
430	19.53598752
431	19.52478686
432	19.51937043
433	19.51438527
434	19.51049772
435	19.50626733
436	19.50092439
437	19.4902573
438	19.48563532
439	19.48008506
440	19.47544928
441	19.46927399
442	19.46186408
443	19.45742024
444	19.45114021
